relative_path;image_name;label
./data/augmented_fronts;69$$ff303a8fdaf61871$$Gold.jpg;Gold
./data/augmented_fronts;72$$33f9c98a30d42826$$Gold.jpg;Gold
./data/augmented_fronts;79$$b90860c9bbbc36fd$$Gold.jpg;Gold
./data/augmented_fronts;80$$dd26cc8a4bcf37f7$$Gold.jpg;Gold
./data/augmented_fronts;81$$b3649b83db0ac758$$Gold.jpg;Gold
./data/augmented_fronts;83$$25785e8001a04836$$Gold.jpg;Gold
./data/augmented_fronts;100$$b6f3af57d4277efb$$Gold.jpg;Gold
./data/augmented_fronts;109$$c658cd999b72de0a$$Gold.jpg;Gold
./data/augmented_fronts;111$$8ff77bf325e4fef6$$Gold.jpg;Gold
./data/augmented_fronts;115$$0340581780d17d1f$$Gold.jpg;Gold
./data/augmented_fronts;135$$ae37d98580849a46$$Gold.jpg;Gold
./data/augmented_fronts;136$$17a709cc1cc7e219$$Gold.jpg;Gold
./data/augmented_fronts;158$$15bfff1a4daca885$$Gold.jpg;Gold
./data/augmented_fronts;166$$dd98ec252d531d1b$$Gold.jpg;Gold
./data/augmented_fronts;173$$f44f82bd9d88debb$$Gold.jpg;Gold
./data/augmented_fronts;175$$02d2bf36dd6a901e$$Gold.jpg;Gold
./data/augmented_fronts;184$$781ef1be9c30b53c$$Gold.jpg;Gold
./data/augmented_fronts;198$$efb36a1308429065$$Gold.jpg;Gold
./data/augmented_fronts;206$$17177925fead7fb5$$Gold.jpg;Gold
./data/augmented_fronts;211$$06967160127ca732$$Gold.jpg;Gold
./data/augmented_fronts;213$$1fe1724a8eabe42d$$Gold.jpg;Gold
./data/augmented_fronts;216$$5ce3dbdeed6604be$$Gold.jpg;Gold
./data/augmented_fronts;218$$0018595b3db424e3$$Gold.jpg;Gold
./data/augmented_fronts;223$$0d060e1bf9e92b1c$$Gold.jpg;Gold
./data/augmented_fronts;250$$ab352c62cf36296f$$Gold.jpg;Gold
./data/augmented_fronts;261$$8f19fe95bd3fda06$$Gold.jpg;Gold
./data/augmented_fronts;265$$cfe4a4b80eddda6b$$Gold.jpg;Gold
./data/augmented_fronts;287$$dec61cf233fba15d$$Gold.jpg;Gold
./data/augmented_fronts;297$$fbd7124b3e4c072a$$Gold.jpg;Gold
./data/augmented_fronts;298$$b8e15c29f1be8b84$$Gold.jpg;Gold
./data/augmented_fronts;364$$e53a809f26a7bd19$$Gold.jpg;Gold
./data/augmented_fronts;380$$a23edbf0f08461f0$$Gold.jpg;Gold
./data/augmented_fronts;411$$bc97c3b84a551f08$$Gold.jpg;Gold
./data/augmented_fronts;416$$710bd883eb904a84$$Gold.jpg;Gold
./data/augmented_fronts;434$$b8ac249ac3d6fd88$$Gold.jpg;Gold
./data/augmented_fronts;437$$7b7554aaa7885d65$$Gold.jpg;Gold
./data/augmented_fronts;447$$8f5b34dcded31f52$$Gold.jpg;Gold
./data/augmented_fronts;451$$9b479916bebadb52$$Gold.jpg;Gold
./data/augmented_fronts;488$$5e32212123aa884e$$Gold.jpg;Gold
./data/augmented_fronts;493$$006626e0dae397ad$$Gold.jpg;Gold
./data/augmented_fronts;495$$ebd696f43e906f4f$$Gold.jpg;Gold
./data/augmented_fronts;520$$9b7097755c196944$$Gold.jpg;Gold
./data/augmented_fronts;543$$ba25438ea7ee44cf$$Gold.jpg;Gold
./data/augmented_fronts;547$$49bae304b3090eef$$Gold.jpg;Gold
./data/augmented_fronts;563$$9b0e10cbc1185adf$$Gold.jpg;Gold
./data/augmented_fronts;566$$7fdb38ac5d27062d$$Gold.jpg;Gold
./data/augmented_fronts;577$$e9a91eb964c6f64e$$Gold.jpg;Gold
./data/augmented_fronts;580$$aecb2622ddba0cc4$$Gold.jpg;Gold
./data/augmented_fronts;626$$89131fdc80201ce3$$Gold.jpg;Gold
./data/augmented_fronts;650$$edf5e7f53c6b688f$$Gold.jpg;Gold
./data/augmented_fronts;682$$cb0bdaf2405d1003$$Gold.jpg;Gold
./data/augmented_fronts;689$$689afd05753ec576$$Gold.jpg;Gold
./data/augmented_fronts;693$$773ae0c9bca1df73$$Gold.jpg;Gold
./data/augmented_fronts;694$$4ea213e573a9ac40$$Gold.jpg;Gold
./data/augmented_fronts;713$$5415e845b8dc82ce$$Gold.jpg;Gold
./data/augmented_fronts;750$$ae6a94388882b45c$$Gold.jpg;Gold
./data/augmented_fronts;798$$24776cdeadbdb6a5$$Gold.jpg;Gold
./data/augmented_fronts;809$$04201f68984f0514$$Gold.jpg;Gold
./data/augmented_fronts;822$$cd0c7cbad5a2c3ef$$Gold.jpg;Gold
./data/augmented_fronts;841$$4dc9e4f41d444bed$$Gold.jpg;Gold
./data/augmented_fronts;861$$87f37eff02659182$$Gold.jpg;Gold
./data/augmented_fronts;909$$f204490648e45f0b$$Gold.jpg;Gold
./data/augmented_fronts;967$$87ade889538715f5$$Gold.jpg;Gold
./data/augmented_fronts;979$$04276c4e2e811607$$Gold.jpg;Gold
./data/augmented_fronts;1010$$792d2c44d3f73954$$Gold.jpg;Gold
./data/augmented_fronts;1020$$1629284fc4f0e483$$Gold.jpg;Gold
./data/augmented_fronts;1045$$fcce5dff417c86a1$$Gold.jpg;Gold
./data/augmented_fronts;1068$$872ca27c1c47edb4$$Gold.jpg;Gold
./data/augmented_fronts;1091$$10b0d4acdf51e1c0$$Gold.jpg;Gold
./data/augmented_fronts;1145$$8570657650c783be$$Gold.jpg;Gold
./data/augmented_fronts;1147$$c34693eb3d3c387d$$Gold.jpg;Gold
./data/augmented_fronts;1200$$a6995246f5168900$$Gold.jpg;Gold
./data/augmented_fronts;1211$$dff26099a0c6cbe8$$Gold.jpg;Gold
./data/augmented_fronts;1287$$ae6ff4696ce2b5e0$$Gold.jpg;Gold
./data/augmented_fronts;1443$$2ca14d69c2004e59$$Gold.jpg;Gold
./data/augmented_fronts;1514$$19b0fa37643260a8$$Gold.jpg;Gold
./data/augmented_fronts;1565$$c30aa6430fd7786f$$Gold.jpg;Gold
./data/augmented_fronts;1597$$5ddcc8eaea97c48e$$Gold.jpg;Gold
./data/augmented_fronts;1616$$a54a8caf5065c9e5$$Gold.jpg;Gold
./data/augmented_fronts;1639$$f1e2fef5928bd73c$$Gold.jpg;Gold
./data/augmented_fronts;2689$$87f1d24aa02869a9$$Gold.jpg;Gold
./data/augmented_fronts;4485$$3f1bf99a1b017ff2$$Gold.jpg;Gold
./data/augmented_fronts;6606$$882d998299920f07$$Gold.jpg;Gold
./data/augmented_fronts;9179$$14bf3f8d4e4c27cd$$Gold.jpg;Gold
./data/augmented_fronts;10273$$38a0f0a75df8a5dc$$Gold.jpg;Gold
./data/augmented_fronts;10274$$0ba212b8bf153d1e$$Gold.jpg;Gold
./data/augmented_fronts;11737$$068153a1bc293ff8$$Gold.jpg;Gold
./data/augmented_fronts;15393$$e520107e1bd7db9f$$Gold.jpg;Gold
./data/augmented_fronts;15466$$d3db38dcee9dcdd5$$Gold.jpg;Gold
./data/augmented_fronts;15472$$8cfe3b467e817725$$Gold.jpg;Gold
./data/augmented_fronts;15632$$69320bee533e561f$$Gold.jpg;Gold
./data/augmented_fronts;15656$$d9be795afc1c9bb2$$Gold.jpg;Gold
